"ID","DeviceID","TTL","TransmissionPower","TransmissionsNumber","IntervalTime","TTLResidue","Delay"
"264","1","2","1","1","3","1","3881830.00"
"265","2","2","1","1","3","2","4083249.00"
"266","1","2","1","1","3","2","4279926.00"
"267","3","2","1","1","3","2","4320298.00"
"268","3","2","1","1","3","1","4572414.00"
"269","1","2","1","1","3","1","4613562.00"
"270","1","2","1","1","3","2","5123532.00"
"271","3","2","1","1","3","1","5052050.00"
"272","2","2","1","1","3","2","6093017.00"
"273","1","2","1","1","3","2","6529655.00"
"274","2","2","1","1","3","2","5737389.00"
"275","3","2","1","1","3","0","5786149.00"
"276","1","2","1","1","3","1","5863388.00"
"277","1","2","1","1","3","2","12534766.00"
"278","2","2","1","1","3","2","12576088.00"
"279","3","2","1","1","3","1","12748062.00"
"280","1","2","1","1","3","2","2971788.00"
"281","2","2","1","1","3","2","3077635.00"
"282","2","2","1","1","3","2","2447125.00"
"283","3","2","1","1","3","2","3133556.00"
"284","1","2","1","1","3","2","3176995.00"
"285","2","2","1","1","3","2","2832191.00"
"286","1","2","1","1","3","2","3265060.00"
"287","3","2","1","1","3","0","3024868.00"
"288","1","2","1","1","3","1","3203655.00"
"289","2","2","1","1","3","2","3801689.00"
"290","2","2","1","1","3","2","3943265.00"
"291","1","2","1","1","3","1","3984330.00"
"292","3","2","1","1","3","1","4414184.00"
"293","2","2","1","1","3","2","4063557.00"
"294","1","2","1","1","3","2","4193629.00"
"295","3","2","1","1","3","2","4623645.00"
"296","2","2","1","1","3","2","4664017.00"
"297","2","2","1","1","3","2","4443564.00"
"298","3","2","1","1","3","1","4473283.00"
"299","2","2","1","1","3","2","4573786.00"
"300","2","2","1","1","3","2","5283494.00"
"301","3","2","1","1","3","0","5503837.00"
"302","1","2","1","1","3","1","5724681.00"
"303","1","2","1","1","3","2","5405037.00"
"304","2","2","1","1","3","2","5446181.00"
"305","3","2","1","1","3","2","6433285.00"
"306","2","2","1","1","3","2","6895220.00"
"307","1","2","1","1","3","2","7006282.00"
"308","2","2","1","1","3","2","6344635.00"
"309","3","2","1","1","3","1","6672373.00"
"310","1","2","1","1","3","2","7144949.00"
"311","2","2","1","1","3","2","7185529.00"
"312","3","2","1","1","3","1","7365165.00"
"313","2","2","1","1","3","2","13913657.00"
"314","3","2","1","1","3","1","14345532.00"
"315","1","2","1","1","3","1","4153335.00"
"316","3","2","1","1","3","1","4593758.00"
"317","1","2","1","1","3","2","4495754.00"
"318","2","2","1","1","3","2","4536728.00"
"319","3","2","1","1","3","1","4962499.00"
"320","2","2","1","1","3","2","4323531.00"
"321","3","2","1","1","3","0","4869620.00"
"322","1","2","1","1","3","1","4910691.00"
"323","2","2","1","1","3","2","4103343.00"
"324","3","2","1","1","3","1","4144404.00"
"325","1","2","1","1","3","2","4540701.00"
"326","2","2","1","1","3","2","4123303.00"
"327","1","2","1","1","3","2","4334022.00"
"328","3","2","1","1","3","2","4566139.00"
"329","2","2","1","1","3","2","4935321.00"
"330","3","2","1","1","3","1","4976386.00"
"331","3","2","1","1","3","2","5401857.00"
"332","2","2","1","1","3","2","5442249.00"
"333","1","2","1","1","3","1","5853325.00"
"334","1","2","1","1","3","2","6196552.00"
"335","2","2","1","1","3","2","6236929.00"
"336","3","2","1","1","3","1","6643638.00"
"337","2","2","1","1","3","2","6383327.00"
"338","3","2","1","1","3","0","6423703.00"
"339","1","2","1","1","3","1","6824034.00"
"340","2","2","1","1","4","2","3373440.00"
"341","3","2","1","1","4","2","3686277.00"
"342","1","2","1","1","4","1","4026539.00"
"343","2","2","1","1","4","2","3523304.00"
"344","2","2","1","1","4","2","4193411.00"
"345","3","2","1","1","4","1","4905846.00"
"346","2","2","1","1","4","0","4946994.00"
"347","1","2","1","1","4","2","5353722.00"
"348","2","2","1","1","4","1","5693297.00"
"349","1","2","1","1","4","2","6132605.00"
"350","2","2","1","1","4","2","12155658.00"
"351","1","2","1","1","4","1","12276885.00"
"352","3","2","1","1","4","0","12620645.00"
"353","1","2","1","1","4","2","993002.00"
"354","2","2","1","1","4","2","1095219.00"
"355","2","2","1","1","4","2","1103303.00"
"356","1","2","1","1","4","2","1196323.00"
"357","3","2","1","1","4","2","1425204.00"
"358","1","2","1","1","4","1","2583499.00"
"359","2","2","1","1","4","1","2681857.00"
"360","3","2","1","1","4","2","2805171.00"
"361","1","2","1","1","4","2","3015973.00"
"362","2","2","1","1","4","2","3056951.00"
"363","3","2","1","1","4","1","3147678.00"
"364","1","2","1","1","4","2","2826599.00"
"365","2","2","1","1","4","2","2867664.00"
"366","3","2","1","1","4","1","3973333.00"
"367","2","2","1","1","4","1","3005018.00"
"368","3","2","1","1","4","2","3183758.00"
"369","1","2","1","1","4","2","3083904.00"
"370","2","2","1","1","4","2","3124969.00"
"371","1","2","1","1","4","2","4225939.00"
"372","2","2","1","1","4","2","4267000.00"
"373","3","2","1","1","4","2","4062069.00"
"374","2","2","1","1","4","2","4103134.00"
"375","1","2","1","1","4","2","4837692.00"
"376","2","2","1","1","4","2","4878757.00"
"377","3","2","1","1","4","1","5064340.00"
"378","2","2","1","1","4","2","4414863.00"
"379","1","2","1","1","4","2","4456393.00"
"380","1","2","1","1","4","1","5326479.00"
"381","2","2","1","1","4","1","5367544.00"
"382","3","2","1","1","4","2","5545529.00"
"383","3","2","1","1","4","2","5229930.00"
"384","1","2","1","1","4","2","5271056.00"
"385","2","2","1","1","4","2","5316194.00"
"386","1","2","1","1","4","1","6033343.00"
"387","2","2","1","1","4","2","6453545.00"
"388","3","2","1","1","4","1","6494004.00"
"389","2","2","1","1","4","2","6143493.00"
"390","3","2","1","1","4","2","7158471.00"
"391","2","2","1","1","4","2","13143144.00"
"392","3","2","1","1","4","1","13184470.00"
"393","2","2","1","1","4","2","3423316.00"
"394","1","2","1","1","4","1","3538290.00"
"395","3","2","1","1","4","0","3765759.00"
"396","2","2","1","1","4","2","3202823.00"
"397","1","2","1","1","4","1","3243888.00"
"398","3","2","1","1","4","1","3663187.00"
"399","1","2","1","1","4","2","2673686.00"
"400","3","2","1","1","4","1","3113323.00"
"401","1","2","1","1","4","1","3497176.00"
"402","2","2","1","1","4","1","3538150.00"
"403","2","2","1","1","4","2","4168882.00"
"404","1","2","1","1","4","1","4394252.00"
"405","1","2","1","1","4","2","4646013.00"
"406","2","2","1","1","4","2","4687078.00"
"407","3","2","1","1","4","1","5094351.00"
"408","1","2","1","1","4","2","5232892.00"
"409","1","2","1","1","4","2","4567411.00"
"410","2","2","1","1","4","2","4607783.00"
"411","3","2","1","1","4","1","4810085.00"
"412","2","2","1","1","4","2","4683343.00"
"413","1","2","1","1","4","2","5123767.00"
"414","1","2","1","1","4","2","5816702.00"
"415","2","2","1","1","4","2","5857767.00"
"416","2","2","1","1","4","1","5743505.00"
"417","2","2","1","1","4","2","6441231.00"
"418","2","2","1","1","4","2","6602544.00"
"419","1","2","1","1","4","2","7383534.00"
"420","3","2","1","1","4","1","7823815.00"
"421","2","2","1","1","4","2","7862335.00"
"422","1","2","1","1","4","1","8338415.00"
"423","3","2","1","1","4","1","8662317.00"
"424","3","2","1","1","4","1","13876573.00"
"425","1","2","1","1","4","2","13917894.00"
"426","2","2","1","1","4","2","4435276.00"
"427","1","2","1","1","4","2","4476337.00"
"428","3","2","1","1","4","0","5163512.00"
"429","2","2","1","1","4","2","4566236.00"
"430","1","2","1","1","4","1","4613716.00"
"431","3","2","1","1","4","1","5043585.00"
"432","2","2","1","1","4","1","4713402.00"
"433","3","2","1","1","4","1","5039208.00"
"434","2","2","1","1","4","2","4286536.00"
"435","3","2","1","1","4","1","4727268.00"
"436","2","2","1","1","4","2","5059521.00"
"437","2","2","1","1","4","2","5503307.00"
"438","1","2","1","1","4","1","5544372.00"
"439","2","2","1","1","4","2","5922852.00"
"440","3","2","1","1","4","1","6584090.00"
"441","2","2","1","1","4","2","6795990.00"
"442","1","2","1","1","4","2","6837055.00"
"443","3","2","1","1","4","1","6923682.00"
"444","2","2","1","1","4","0","7533539.00"
"445","3","2","1","1","4","1","7954066.00"
"446","1","2","1","1","4","2","7994439.00"
"447","2","2","1","1","4","2","6967514.00"
"448","1","2","1","1","4","1","7187298.00"
"449","2","2","1","1","4","1","7123338.00"
"450","1","2","1","1","4","2","7345523.00"
"451","2","2","1","1","5","2","3356629.00"
"452","3","2","1","1","5","1","3821659.00"
"453","2","2","1","1","5","2","3603410.00"
"454","2","2","1","1","5","2","4053401.00"
"455","1","2","1","1","5","1","4093864.00"
"456","2","2","1","1","5","2","12313549.00"
"457","2","2","1","1","5","2","1793539.00"
"458","1","2","1","1","5","0","2015944.00"
"459","3","2","1","1","5","1","2233901.00"
"460","1","2","1","1","5","2","1343650.00"
"461","2","2","1","1","5","2","1384632.00"
"462","2","2","1","1","5","2","2481838.00"
"463","1","2","1","1","5","1","2607486.00"
"464","3","2","1","1","5","0","3262763.00"
"465","2","2","1","1","5","2","2950575.00"
"466","2","2","1","1","5","2","3553147.00"
"467","1","2","1","1","5","1","3594208.00"
"468","2","2","1","1","5","2","4551092.00"
"469","3","2","1","1","5","1","4991416.00"
"470","2","2","1","1","5","2","3373432.00"
"471","1","2","1","1","5","0","3633686.00"
"472","1","2","1","1","5","2","4278561.00"
"473","2","2","1","1","5","2","4319630.00"
"474","3","2","1","1","5","1","4497289.00"
"475","2","2","1","1","5","2","4883410.00"
"476","2","2","1","1","5","2","4242474.00"
"477","1","2","1","1","5","1","4363643.00"
"478","2","2","1","1","5","2","5379624.00"
"479","3","2","1","1","5","1","5645061.00"
"480","1","2","1","1","5","2","5175954.00"
"481","2","2","1","1","5","2","5503706.00"
"482","2","2","1","1","5","2","5993352.00"
"483","1","2","1","1","5","2","6213679.00"
"484","3","2","1","1","5","1","6312786.00"
"485","2","2","1","1","5","2","6122825.00"
"486","1","2","1","1","5","1","6343540.00"
"487","3","2","1","1","5","0","6465071.00"
"488","2","2","1","1","5","2","6263138.00"
"489","1","2","1","1","5","1","6483659.00"
"490","1","2","1","1","5","1","13853866.00"
"491","3","2","1","1","5","1","14283209.00"
"492","2","2","1","1","5","2","3837142.00"
"493","1","2","1","1","5","2","3878211.00"
"494","2","2","1","1","5","2","4307819.00"
"495","3","2","1","1","5","1","4573698.00"
"496","1","2","1","1","5","2","3689504.00"
"497","2","2","1","1","5","1","4015616.00"
"498","2","2","1","1","5","2","3288570.00"
"499","3","2","1","1","5","0","4222445.00"
"500","2","2","1","1","5","2","3743503.00"
